200000,13500,150.7229843,92656,,,,200000,1161,122.4523315,1238,,,,200000,98,779.4603348,92656,,200000,84,606.4913788,1248,,,200000,4781,423.4505768,92656,,,,200000,392,103.2441406,1214,,,200000,394,222.40625,92656,,,,,,200000,397,220.2905884,1190
150000,26954,214.7229843,273448,,,,150000,2158,159.5729675,3896,,,,150000,192,984.4583817,273448,,150000,121,208.7939758,3727,,,150000,12418,324.6210938,273448,,,,150000,618,155.9173737,3882,,,150000,611,223.0488281,273448,,,,,,150000,602,222.5293579,3701
100000,56978,176.0822754,1045780,,,,100000,4841,84.46298218,19858,,,,100000,564,1071.647705,1045780,,100000,220,938.3628769,19822,,,100000,26925,257.0512695,1045780,,,,100000,1485,256.6736603,19297,,,100000,1273,267.0512695,1045780,,,,,,100000,1129,222.6759644,18938
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retail,huim,,,,,,retail,round-huim,,,,,,retail,EFIM,,,,retail,round_EFIM,,,,,retail,ULB-Miner,,,,,,retail,round_ULB-Miner,,,,,retail,Hminer,,,,,,,,retail,round_Hminer,,
min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count
100000,317,94.31878662,22,,,,100000,326,30.86396027,4,,,,100000,267,813.6881409,22,,100000,233,245.9719238,4,,,100000,397,193.4050598,22,,,,100000,394,37.15068817,4,,,100000,428,149.1150513,22,,,,,,100000,376,108.4127045,4
90000,385,96.66039276,26,,,,90000,327,33.96794128,4,,,,90000,254,997.6881409,26,,90000,235,121.6710358,4,,,90000,475,156.419281,26,,,,90000,399,155.4805756,4,,,90000,446,130.6477051,26,,,,,,90000,382,125.9675217,4
